route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
3A,20,bus-mt-haryono-1-jokteng-kulon-be1d0306,TPB MT Haryono 1 (Jokteng Kulon),unmatched,6a891d7b478dc3b356b721e3,Halte Jokteng Kulon,,approved,user+claude-sonnet-5,2026-09-13,"Exact physical-location match: 'Jokteng Kulon' appears verbatim in both the route-sheet name and the survey record; corroborated by a near-duplicate survey point 'Halte Jokteng Kulon di Depan Medi Farma' ~5m away (6a896185478dc3b356b76883) and by 'Halte Jokten Kulon - SMAN 7' ~85m away, confirming this is a well-surveyed intersection on Jl. MT Haryono."
3A,21,bus-jalan-mayjen-sutoyo-plengkung-gading-e73901f8,TPB Jl. Mayjen Sutoyo (Plengkung Gading),unmatched,6a891f8752d86e03b5182d78,Halte Plengkung Gading A,,approved,user+claude-sonnet-5,2026-09-13,"Exact name match on 'Plengkung Gading'; the 'A' suffix is the survey's directional/duplicate-pair labeling convention (seen throughout the catalog, e.g. Widya Wiwaha A/B), not a different location. Never surfaced automatically because the route sheet spells the street name (Jl. Mayjen Sutoyo) into the stop name while the survey record does not."
3A,22,bus-kol-sugiono-1-pujokusuman-ba46a3cf,Halte Kol. Sugiono 1 (Pujokusuman),unmatched,6a8922aa52d86e03b51831b9,Halte Pujokusuman,,approved,user+claude-sonnet-5,2026-09-13,"Name overlap on 'Pujokusuman'; corroborated by a near-identical-coordinate duplicate survey record 'Halte Ngabean (Dana Keistimewaan) ... Samping Gang Kampung Pujokusuman' (6a8969ed478dc3b356b7736b, ~3m away). Deliberately not matched to the nearby 'Kolonel Sugiono / Museum Perjuangan' + 'Sugiono 2' pair ~150m east, which is the physically distinct 'Sugiono 2' stop used elsewhere on route 3B."
3A,26,bus-sorogenen-wirosaban-a0db3a0a,TPB Sorogenen (Wirosaban),unmatched,6a8a4f770d6732db988bd00e,Halte Sorogenen (Nitikan) di Area Pertokoan,,approved,user+claude-sonnet-5,2026-09-13,"Shares the 'Sorogenen' keyword directly; 'Wirosaban' (route sheet) and 'Nitikan' (survey) are both alternate adjacent-area disambiguators for the same stretch of road, ~85m apart from the plain 'Halte Wirosaban' record, consistent with route sequence between Widya Wiwaha and Tegal Turi."
3A,35,bus-sma-5-7ee38138,TPB SMA 5,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No plausible match. The only 'SMK/SMA 5'-named records in activity_stop_catalog.csv are 'Halte SMKN 5 (di Depan SMKN5 Yogyakarta)' and its A/B duplicates near Gembira Loka (lon 110.395, lat -7.800) - a different school (SMK vs SMA) and geographically north of this stop's seq36 neighbor 'Gedong Kuning' (lat -7.8196), which would break the route's monotonic south-to-north progression through this corridor. Genuine field-survey gap."
3A,36,bus-gedong-kuning-657f51a3,Halte Gedong Kuning,unmatched,6a897f8e478dc3b356b78a98,"Halte Gedong Kuning di Depan Kehutanan, Balai Daerah Aliran Sungai Serayu Opak Progo",,approved,user+claude-sonnet-5,2026-09-13,"Direct 'Gedong Kuning' name match. This is the same Activity record cited for 3B's 'TPB Kehutanan Gedongkuning' (stop bus-kehutanan-gedongkuning-d6464bd8, seq51 on 3B) - both route-sheet stops evidently name the same Jl. Gedong Kuning survey point from opposite travel directions, the same reuse pattern already established for MM UGM across routes 3B/4A/12."
3A,37,bus-pilar-1-gedong-kuning-kota-31b75629,TPB Pilar 1 Gedong Kuning Kota,unmatched,6a939f8952d86e03b51e3c50,Halte Banguntapan B,,approved,user+claude-sonnet-5,2026-09-13,"No record is uniquely named 'Pilar', but this stop sits in a tight ~150m cluster of four separate survey points at the Gedong Kuning/Banguntapan junction (Banguntapan A, Banguntapan B, and 'Gedong Kuning Banguntapan di Depan Kelurahan Banguntapan'); assigned the remaining unclaimed cluster point since seq36-38 are three consecutive route-sheet stops all naming this same junction ('Kota' = the city/kelurahan side of it)."
3A,38,bus-banguntapan-1-gedong-kuning-50b8a187,TPB Banguntapan 1 Gedong Kuning,unmatched,6a93a0cf52d86e03b51e3cc6,Halte Banguntapan A,,approved,user+claude-sonnet-5,2026-09-13,"Numeric '1' in the route-sheet name corresponds to the survey's 'A' directional-pair labeling (same convention as Plengkung Gading A, Widya Wiwaha A/B); coordinates sit ~5m from the exact-name 'Gedong Kuning Banguntapan' record, confirming the same junction."
3A,39,bus-jec-5c342f7d,Halte JEC,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,No record for Jogja Expo Center / JEC anywhere in activity_stop_catalog.csv (checked full 321-row catalog by name and by the Gedong Kuning/Banguntapan bounding box). Genuine field-survey gap.
3A,40,bus-blok-o-rs-hardjolukito-882b9a9c,Halte Blok O (RS Hardjolukito),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hardjolukito' (nor 'Lanud'/military hospital) record anywhere in activity_stop_catalog.csv, despite the neighboring 'Wonocatur' stop (used by 3B, adjacent on the same road) being present. Genuine field-survey gap."
