route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
12,33,bus-dusun-kledokan-soto-brakot-2-0ae3a409,Dusun Kledokan (Soto Brakot) 2,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Sits between SMPN 4 Pakem (seq32) and Raminten Boutique & Cafe Halte 2 (seq34), just south of the resolved Terminal Pakem anchor (seq31, -7.6667/110.4203); 'kledokan' and 'brakot' return zero hits anywhere in activity_stop_catalog.csv's 321 rows, no row exists for this stop_id in stop_match_candidates.csv, and a geographic scan of the entire far-north corridor (lat -7.775 to -7.655, lon 110.36-110.43) surfaces only the two already-claimed records (Terminal Pakem, Simpang Besi Jangkang) with nothing free near this position."
12,29,bus-dusun-kledokan-soto-brakot-fc4d12ed,Dusun Kledokan (Soto Brakot),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Directional twin of the Kledokan/Soto Brakot 2 stop (seq33), sitting between Raminten Boutique & Cafe (seq28) and RS Panti Nugroho (seq30) just south of the Terminal Pakem anchor; same zero-hit result for 'kledokan'/'brakot' across the whole activity catalog, no stop_match_candidates.csv row, and no unclaimed record anywhere in the wide geographic scan of this stretch."
12,18,bus-kantor-camat-ngaglik-91c4f095,Kantor Camat Ngaglik,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Falls in the long unresolved Jl. Kaliurang stretch between the MM UGM anchor (seq11, -7.765/110.377) and the Simpang Besi Jangkang anchor (seq23, -7.699/110.416); 'camat', 'kecamatan' and 'ngaglik' all return zero hits in activity_stop_catalog.csv, no candidate row exists, and the bounding-box scan of that whole stretch turns up nothing unclaimed."
12,24,bus-pusat-rehabilitasi-yakkum-c69b76c2,Pusat Rehabilitasi YAKKUM,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Immediately follows the resolved Simpang Besi Jangkang anchor (seq23, -7.699/110.416); 'yakkum' and 'rehabilitasi' return zero hits anywhere in the 321-row activity catalog, no stop_match_candidates.csv row exists, and nothing unclaimed sits near the Jangkang anchor's coordinates."
12,38,bus-pusat-rehabilitasi-yakkum-halte-2-8dc4e258,Pusat Rehabilitasi YAKKUM (Halte 2),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Directional twin of the YAKKUM stop at seq24, sitting just before the Simpang Besi Jangkang 2 anchor (seq39, same -7.699/110.416 intersection as seq23); same zero-hit result for 'yakkum'/'rehabilitasi' across the catalog and no free record near that anchor."
12,43,bus-puskesmas-ngaglik-1-halte-2-356048c0,Puskesmas Ngaglik 1 (Halte 2),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Directional twin of Puskesmas Ngaglik I (seq19), between SMP Negeri 2 Ngaglik (Timur) (seq42) and TK Bias Kaliurang (seq44); 'puskesmas' and 'ngaglik' return zero hits in activity_stop_catalog.csv, no stop_match_candidates.csv row, and the wide geographic scan of this stretch finds nothing free."
12,19,bus-puskesmas-ngaglik-i-ac4d2b11,Puskesmas Ngaglik I,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Between Kantor Camat Ngaglik (seq18) and SMP Negeri 2 Ngaglik (seq20), squarely in the same MM UGM-to-Jangkang gap with no nearby anchor; 'puskesmas' and 'ngaglik' return zero hits anywhere in the catalog and no candidate row exists for this stop_id."
12,35,bus-simpang-dogolan-2-b22541ba,Simpang Dogolan 2,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Directional twin of Simpang Dogolan (seq27), between Raminten Boutique & Cafe (Halte 2) (seq34) and Boulevard UII (seq36); 'dogolan' returns zero hits in the 321-row activity catalog, no stop_match_candidates.csv row exists, and no unclaimed record sits near this position in the wide bounding-box scan."
12,27,bus-simpang-dogolan-dab8862a,Simpang Dogolan,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Between UII (Barat Jalan) (seq26) and Raminten Boutique & Cafe (seq28), in the same unresolved Jl. Kaliurang gap as the YAKKUM and Kledokan stops; 'dogolan' returns zero hits anywhere in activity_stop_catalog.csv and no candidate row exists for this stop_id."
12,17,bus-simpang-palem-raya-e-c72c93bc,Simpang Palem Raya (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Same stop_id recurs at seq45 (both directions of the loop pass this junction); sits between Terminal Bangunan (seq16, itself only review_fuzzy and unresolved) and Kantor Camat Ngaglik (seq18); 'palem' returns zero hits anywhere in the activity catalog and no stop_match_candidates.csv row exists for either occurrence."
