route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
4A,42,bus-univeristas-ahmad-dahlan-0f60ec71,Halte TJ Univeristas Ahmad Dahlan,unmatched,6a93a3aadc237a3a8a7a1649,Halte Gambiran B,,approved,user+claude-sonnet-5,2026-09-13,"4B's identically-named twin stop_id (bus-universitas-ahmad-dahlan-f6ee4d47, correct spelling, seq4 and seq38) was already approved to candidate_activity_id 6a93a3aadc237a3a8a7a1649 (Halte Gambiran B); this 4A stop occupies the exact same structural position in its own sequence, immediately before the identical Gudang SGM 2 -> Pasar Giwangan 2 -> Terminal Giwangan tail shared verbatim by both routes, and carries no directional A/B suffix unlike genuine opposite-shelter pairs elsewhere in this corridor, so it is judged the same physical halte and reuses the same candidate rather than a distinct match."
4A,7,bus-nyutran-tamansiswa-080d9b74,Nyutran Tamansiswa,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Route-order interpolation between the resolved Muhammadiyah 3 (seq4) and Wirogunan (Barat) (seq8) anchors places this stop near (110.381,-7.808), but the nearest unclaimed catalog record (Halte Among Rogo B) is over 1.1km away with no name relation, and bus_segments.csv carries no travel-time rows for route 4A/4B to corroborate any closer candidate; genuine field-survey gap."
4B,8,bus-olive-glagahsari-w-48c71355,Olive Glagahsari (Barat),unmatched,6a92ce6f52d86e03b51dc8b3,Halte UTY Glagahsari B,,approved,user+claude-sonnet-5,2026-09-13,"Immediately follows the resolved UTY Glagahsari (Barat) stop (candidate Halte UTY Glagahsari A) in the route sequence; its unclaimed sibling record Halte UTY Glagahsari B sits ~15m from Halte UTY Glagahsari A at the same intersection, matching this dataset's recurring A/B directional-pair convention for the very next stop down the same road."
4B,6,bus-pandeyan-w-cd4dd021,Pandeyan (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Sits one position before the resolved UTY Glagahsari (Barat) stop; the only unclaimed catalog records within range (Halte UTY Glagahsari B and Halte Portable UTY di Depan Kebab Nime) are the same UTY Glagahsari intersection already claimed one stop later in this same file, so assigning either here would collapse two distinct sequential stops onto one point; no other unclaimed record sits at a defensible distance."
4A,9,bus-pasar-sentul-s-84478365,Pasar Sentul (Selatan),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Route-order interpolation between resolved Wirogunan (Barat) (seq8) and Museum Biologi (seq10) anchors places this stop near (110.376,-7.803), but the nearest unclaimed catalog record (Halte Katamso 2) is over 750m away with no name relation; genuine field-survey gap."
4A,6,bus-pasar-sepeda-tunjungsari-c4695341,TPB Pasar Sepeda Tunjungsari,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Route-order interpolation between the resolved Jl. Pramuka match (this file, seq5) and Wirogunan (Barat) (seq8) places this stop near (110.384,-7.812), but the nearest unclaimed catalog record (Halte Lowanu B) is over 1km away with no name relation; genuine field-survey gap."
4A,41,bus-psky-255eae47,Halte PSKY,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Sits between the resolved Makam Prajurit (Timur) and the Ahmad Dahlan/Gambiran B anchors; the only geographically nearby unclaimed candidates cluster at the UTY Glagahsari intersection (already claimed for the Olive Glagahsari match earlier in this file) or sit at the Eks STIE Kerjasama/XT Square and Gambiran locations already claimed by other approved rows, so no distinct unclaimed record exists at a defensible distance; genuine field-survey gap."
4B,36,bus-stsrd-visi-tamansiswa-77a7a21f,STSRD Visi Tamansiswa,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Route-order interpolation between resolved Wirogunan (Timur) (seq35) and Eks STIE Kerjasama/XT Square (seq37) anchors places this stop near (110.382,-7.810), but the nearest unclaimed catalog record (Halte Lowanu B) is roughly 1km away with no name relation; genuine field-survey gap, consistent with the earlier Ahmad Dahlan-4A rejection pattern already on file for this corridor."
4A,36,bus-timoho-e-91beeecd,Timoho (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Sits between the resolved APMD (Timur) and SMK N 5 (Utara) anchors; the only nearby unclaimed records are Halte APMD B and Halte SMKN 5 Yogyakarta B, the sibling records of those two already-claimed anchors, ~475-530m away and would collapse Timoho onto a neighboring stop's location rather than represent a distinct halte; no plausible distinct match found."
4B,11,bus-timoho-w-b557460d,Timoho (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Same corridor and evidence as the 4A Timoho (Timur) occurrence: sits between resolved SMK N 5 (Selatan) and APMD (Barat) anchors, and the only nearby unclaimed records are those same anchors' A/B siblings (~473-530m away), which would collapse this stop onto a neighboring location rather than a distinct halte; genuine field-survey gap."
