route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
3B,5,bus-nitikan-3cd761a8,Halte Nitikan,unmatched,6a8a4f770d6732db988bd00e,Halte Sorogenen (Nitikan) di Area Pertokoan,,approved,codex-gpt-5,2026-09-13,"Direct Nitikan name match; candidate is 290m from travel-time interpolation between Tegal Turi 2 and Widya Wiwaha 2."
3B,7,bus-pa-muhammadiyah-a2f5c15d,TPB PA Muhammadiyah,unmatched,6a8a44a50d6732db988bca0a,Halte PA Muhammadiyah di Depan Panti Asuhan Yatim Putra,,approved,codex-gpt-5,2026-09-13,"Direct PA Muhammadiyah name match; exact facility qualifier is present in catalog."
3B,8,bus-sugiono-2-940b3592,Halte Sugiono 2,unmatched,6a8a3ee252d86e03b518e62b,Halte Sugiono 2 di Depan Masjid Baiturohim,,approved,codex-gpt-5,2026-09-13,"Direct Sugiono 2 name match; catalog point sits on expected segment between Widya Wiwaha and MT Haryono."
3B,9,bus-jalan-mayjen-sutoyo-jokteng-wetan-fb44ee8b,Portabel Jl. Mayjen Sutoyo (Jokteng Wetan),unmatched,6a8d417b52d86e03b51a99d5,Halte Jokteng Wetan,,approved,codex-gpt-5,2026-09-13,"Direct Jokteng Wetan landmark match; candidate is 310m from travel-time interpolation on this Mayjen Sutoyo run."
3B,10,bus-jalan-mayjen-sutoyo-pasar-gading-4125f520,Portabel Jl. Mayjen Sutoyo (Pasar Gading),unmatched,6a891f8752d86e03b5182d78,Halte Plengkung Gading A,,approved,codex-gpt-5,2026-09-13,"No Pasar Gading catalog label; Plengkung Gading is only surveyed shelter in expected sequence interval (240m from travel-time interpolation), plausible local landmark rename."
3B,17,bus-sosrowijayan-dcdae1fc,Sosrowijayan,unmatched,6a8a69c30d6732db988bded7,Halte Sosrowijayan di Jl. Gandekan,,approved,codex-gpt-5,2026-09-13,"Direct Sosrowijayan name match; candidate is 50m from interpolation between Pasar Pathuk and Stasiun Yogyakarta."
3B,19,bus-jlagran-402c26ac,Jlagran,unmatched,6a8d7e2452d86e03b51adbe2,Halte Jlagran stasiun Tugu,,approved,codex-gpt-5,2026-09-13,"Direct Jlagran name match; catalog point is on route immediately after Stasiun Yogyakarta."
3B,20,bus-eks-perpusda-80a03598,Eks Perpusda,unmatched,6a8a7c760d6732db988bef49,Halte Trans Jogja - Samsat,,approved,codex-gpt-5,2026-09-13,"No Eks Perpusda label remains in catalog; Samsat is nearest real surveyed stop (90m) at travel-time interpolation between Stasiun Yogyakarta and SMP N 14, plausible renamed landmark."
3B,35,bus-jih-b7958843,JIH,unmatched,6a82de1b9870dcf66e45cbce,Halte Trans Jogja - Rumah Sakit JIH,,approved,codex-gpt-5,2026-09-13,"Direct JIH hospital name match; candidate is 150m from interpolation between Pakuwon Mall and Stikes Guna Bangsa."
3B,38,bus-rru-instiper-1-baca4daa,TPB RRU Instiper 1,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No Instiper or matching RRU survey record in full catalog; nearest Babarsari records are 770m away and identify different places."
3B,39,bus-smk-tajem-ringroad-utara-5c71b7ff,TPB SMK Tajem Ringroad Utara,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No Tajem survey record in full catalog; nearby Dishub and Bina Marga records are different landmarks and cannot support a real match."
3B,40,bus-rru-binamarga-74dcd5b9,Halte TJ RRU (Binamarga),unmatched,6a895a3052d86e03b5186967,Halte Trans Jogja - Bina Marga,,approved,codex-gpt-5,2026-09-13,"Direct Bina Marga name match; candidate lies in expected RRU-to-Jl Solo sequence interval."
3B,43,bus-hyundai-9b4bda77,Halte Hyundai,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No Hyundai survey record in full catalog; Jalan Solo candidates are distinct named stops and no real identity link was found."
3B,45,bus-pasar-angkasa-e-020347ed,Pasar Angkasa (Timur),unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No Pasar Angkasa survey record in full catalog; nearby airport and Maguwo stops are distinct locations with no supporting name evidence."
3B,48,bus-bkpm-b11114ea,BKPM,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No BKPM survey record in full catalog; Gembira Loka and Banguntapan candidates are different landmarks, so no real match established."
3B,50,bus-poltekkes-bsi-a1e35c13,TPB Poltekkes BSI,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No Poltekkes BSI survey record in full catalog; Gedong Kuning/Banguntapan points are distinct neighboring locations."
3B,52,bus-pegadaian-edf98ce4,TPB Pegadaian,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No plausible Pegadaian catalog point in this Gedong Kuning-to-Tegal Gendu interval; UTY Pegadaian record is geographically unrelated."
3B,53,bus-lap-karang-kotagede-85bec77d,TPB Lap. Karang Kotagede,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No Karang Kotagede survey record in full catalog; Tegal Gendu candidates identify next distinct stop, not this field-survey gap."
