route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
12,32,bus-smpn-4-pakem-c5d3922a,SMPN 4 Pakem,unmatched,,,,rejected,codex-route12-late,2026-09-13,"No SMPN 4 Pakem or nearby-school Activity exists; neighboring Pakem corridor remains unsurveyed."
12,33,bus-dusun-kledokan-soto-brakot-2-0ae3a409,Dusun Kledokan (Soto Brakot) 2,unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Kledokan or Soto Brakot Activity exists between Pakem and UII anchors; genuine survey gap."
12,34,bus-raminten-boutique-cafe-halte-2-0e5ed010,Raminten Boutique & Cafe (Halte 2),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Raminten Activity exists; return-leg counterpart is also unresolved."
12,35,bus-simpang-dogolan-2-b22541ba,Simpang Dogolan 2,unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Dogolan or Degolan Activity exists; no real catalog candidate."
12,36,bus-boulevard-uii-1c76a601,Boulevard UII,unmatched,,,,rejected,codex-route12-late,2026-09-13,"No UII or Boulevard UII Activity exists in catalog; no real candidate."
12,37,bus-uii-timur-jalan-4bb919c8,UII (Timur Jalan),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No UII Activity exists; catalog has no surveyed east-side candidate."
12,38,bus-pusat-rehabilitasi-yakkum-halte-2-8dc4e258,Pusat Rehabilitasi YAKKUM (Halte 2),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No YAKKUM or rehabilitation Activity exists; same genuine gap as Halte 1."
12,40,bus-wedangan-kampoeng-e-ceacc5d5,Wedangan Kampoeng (Timur),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Wedangan or Kampoeng Activity exists; return-leg counterpart also lacks coverage."
12,41,bus-spbu-kaliurang-5896c57f,SPBU Kaliurang,unmatched,,,,rejected,codex-route12-late,2026-09-13,"No SPBU Activity exists on Kaliurang corridor; no real catalog candidate."
12,42,bus-smp-negeri-2-ngaglik-e-849e20e5,SMP Negeri 2 Ngaglik (Timur),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Ngaglik school Activity exists; return-leg twin also has no survey coverage."
12,43,bus-puskesmas-ngaglik-1-halte-2-356048c0,Puskesmas Ngaglik 1 (Halte 2),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Puskesmas Ngaglik Activity exists; no real catalog candidate."
12,44,bus-tk-bias-kaliurang-cb4024c2,TK Bias Kaliurang,unmatched,,,,rejected,codex-route12-late,2026-09-13,"No TK Bias or kindergarten Activity exists on corridor; genuine survey gap."
12,45,bus-simpang-palem-raya-e-c72c93bc,Simpang Palem Raya (Timur),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Palem Raya Activity exists; nearest Kentungan records are different physical stops."
12,47,bus-pasar-kolombo-e-853be528,Pasar Kolombo (Timur),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Pasar Kolombo Activity exists; Colombo records near UNY are different physical stops."
12,48,bus-superindo-kaliurang-halte-2-ac22e6e8,Superindo Kaliurang (Halte 2),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Superindo Activity exists; return-leg counterpart also lacks coverage."
12,49,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Hokben Activity exists; nearby McD Jakal is a distinct physical stop."
12,52,bus-rs-sardjito-e-a2691dbb,Halte RS Sardjito (Timur),review_fuzzy,6a8441d73dbe4dacc783f9f2,Halte Trans Jogja - RS Sardjito A,0.816667,rejected,codex-route12-late,2026-09-13,"Documented wrong-side fuzzy candidate; retain rejection rather than attach west-side Sardjito observation to Timur stop."
12,55,bus-colombo-kosudgama-d0852f9e,Halte TJ Colombo (Kosudgama),review_fuzzy,6a8d081852d86e03b51a643e,Halte Kosudgama,0.615385,rejected,codex-route12-late,2026-09-13,"Documented wrong-direction fuzzy candidate; retain rejection pending a matching surveyed stop."
12,59,bus-prayan-w-756ecdc4,Prayan (Barat),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No Prayan Activity exists; genuine field-survey gap."
12,60,bus-spbu-condongcatur-w-a4e66ecc,SPBU Condongcatur (Barat),unmatched,,,,rejected,codex-route12-late,2026-09-13,"No SPBU Activity exists near Terminal Condongcatur; no real catalog candidate."
