route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
12,58,bus-santren-1292f082,Santren,review_fuzzy,6a8e78f452d86e03b51b44d5,Halte Santren B,0.725000,approved,user+claude-sonnet-5,2026-09-13,"same stop_id/evidence as its already-approved 2A/4B occurrence, copied over for route 12"
12,46,bus-pln-gardu-induk-kentungan-ccdb7caf,PLN Gardu Induk Kentungan,unmatched,6a81952370c999b67933637f,"Halte Kentungan: Bangunan Terawat, Ruang Tunggu Kosong",,approved,user+claude-sonnet-5,2026-09-13,"Never surfaced as an automated candidate ('PLN Gardu Induk' and the catalog's plain 'Kentungan' survey label share almost no text), but this is the well-known PLN substation at the Kentungan junction on Jl. Kaliurang; the catalog's unclaimed 'Halte Kentungan' record sits at this same junction, ~13m from the catalog's separately-surveyed RRU Kentungan halte (already claimed by route_stops' own bus-rru-kentungan-132fb3e0 on routes 3B/4A) -- two distinct halte docks recorded at one junction, this one left unclaimed."
12,7,bus-jalan-colombo-panti-raph-97207924,JL Colombo (Panti Raph),unmatched,6a8d05a3eca288692ef3754c,Halte RS Panti Rapih,,approved,user+claude-sonnet-5,2026-09-13,"Never surfaced as an automated candidate ('Jl Colombo Panti Raph' vs 'RS Panti Rapih' share only the hospital-name fragment), but route_stops.csv/bus_segments.csv place this stop directly between JL Colombo (Samirono) and Vokasi UGM (180s/120s measured), squarely in the Panti Rapih hospital cluster; activity_stop_catalog.csv carries three separate RS Panti Rapih survey docks and route 3A's own TPB Panti Rapih already claims 6a8d0a83eca288692ef377ee, so this reviewer picked the other distinct, unclaimed dock (~350m from Vokasi UGM) rather than reuse it."
12,25,bus-boulevard-uii-1c76a601,Boulevard UII,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'UII' or 'Boulevard' named record exists anywhere in activity_stop_catalog.csv under any spelling; genuine field-survey gap for this UII-corridor stop (also recurs at stop_sequence 36 on this route's return leg)."
12,49,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hokben' record exists in activity_stop_catalog.csv, despite the immediately adjacent stop TPB McD Jakal (bus-mcd-jakal-f29584d4) being a real, already-resolved catalog match a few hundred meters away on the same Jakal corridor; genuine field-survey gap."
3A,3,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hokben' record exists in activity_stop_catalog.csv, despite the immediately adjacent stop TPB McD Jakal (bus-mcd-jakal-f29584d4) being a real, already-resolved catalog match a few hundred meters away on the same Jakal corridor; genuine field-survey gap."
4B,22,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hokben' record exists in activity_stop_catalog.csv, despite the immediately adjacent stop TPB McD Jakal (bus-mcd-jakal-f29584d4) being a real, already-resolved catalog match a few hundred meters away on the same Jakal corridor; genuine field-survey gap."
12,13,bus-hokben-jakal-w-08061330,Hokben Jakal (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hokben' record exists in activity_stop_catalog.csv on either carriageway of Jl. Kaliurang; genuine field-survey gap."
3B,31,bus-hokben-jakal-w-08061330,Hokben Jakal (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hokben' record exists in activity_stop_catalog.csv on either carriageway of Jl. Kaliurang; genuine field-survey gap."
4A,24,bus-hokben-jakal-w-08061330,Hokben Jakal (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hokben' record exists in activity_stop_catalog.csv on either carriageway of Jl. Kaliurang; genuine field-survey gap."
