route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
12,25,bus-boulevard-uii-1c76a601,Boulevard UII,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified this pass: no 'UII' or 'Boulevard' token appears anywhere in the 321-row activity_stop_catalog.csv (grepped case-insensitively); a full scan of the still-unclaimed catalog rows in the lon 110.36-110.42 band also turns up nothing north of roughly lat -7.756 (Terminal Condongcatur/RRU Kentungan), and this stop sits well north of that on Jl. Kaliurang -- field survey never reached the UII stretch; genuine gap (also recurs at stop_sequence 36 on the return leg)."
12,49,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Hokben' or fast-food-branded record exists anywhere in activity_stop_catalog.csv; the only genuine nearby match on this stretch of Jl. Kaliurang is the already-claimed TPB McD Jakal (source 6a89118b52d86e03b5181907, ~a few hundred meters south per bus_segments.csv's 240s median hop) -- a distinct real landmark, not this stop; genuine gap."
3A,3,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Hokben' or fast-food-branded record exists anywhere in activity_stop_catalog.csv; the only genuine nearby match on this stretch of Jl. Kaliurang is the already-claimed TPB McD Jakal (source 6a89118b52d86e03b5181907, ~a few hundred meters south per bus_segments.csv's 240s median hop) -- a distinct real landmark, not this stop; genuine gap."
4B,22,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Hokben' or fast-food-branded record exists anywhere in activity_stop_catalog.csv; the only genuine nearby match on this stretch of Jl. Kaliurang is the already-claimed TPB McD Jakal (source 6a89118b52d86e03b5181907, ~a few hundred meters south per bus_segments.csv's 240s median hop) -- a distinct real landmark, not this stop; genuine gap."
12,13,bus-hokben-jakal-w-08061330,Hokben Jakal (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,Re-verified: no 'Hokben' record exists in activity_stop_catalog.csv on either carriageway of Jl. Kaliurang; nearest unclaimed catalog rows in this band (e.g. Halte TPB Teknik UGM 1 Utara at -7.764) name different real landmarks and reassigning them here would misidentify the physical stop rather than genuinely resolve it; genuine gap.
3B,31,bus-hokben-jakal-w-08061330,Hokben Jakal (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,Re-verified: no 'Hokben' record exists in activity_stop_catalog.csv on either carriageway of Jl. Kaliurang; nearest unclaimed catalog rows in this band (e.g. Halte TPB Teknik UGM 1 Utara at -7.764) name different real landmarks and reassigning them here would misidentify the physical stop rather than genuinely resolve it; genuine gap.
4A,24,bus-hokben-jakal-w-08061330,Hokben Jakal (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,Re-verified: no 'Hokben' record exists in activity_stop_catalog.csv on either carriageway of Jl. Kaliurang; nearest unclaimed catalog rows in this band (e.g. Halte TPB Teknik UGM 1 Utara at -7.764) name different real landmarks and reassigning them here would misidentify the physical stop rather than genuinely resolve it; genuine gap.
12,12,bus-hotel-vidi-jakal-f9ee9a87,TPB Hotel Vidi Jakal,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Vidi' or hotel-branded record exists anywhere in activity_stop_catalog.csv; the nearest unclaimed catalog rows on this stretch (Teknik UGM Utara/FKG UGM B) are distinct, already-surveyed campus buildings rather than the hotel, so borrowing one would misplace this stop; genuine gap."
3B,30,bus-hotel-vidi-jakal-f9ee9a87,TPB Hotel Vidi Jakal,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Vidi' or hotel-branded record exists anywhere in activity_stop_catalog.csv; the nearest unclaimed catalog rows on this stretch (Teknik UGM Utara/FKG UGM B) are distinct, already-surveyed campus buildings rather than the hotel, so borrowing one would misplace this stop; genuine gap."
4A,23,bus-hotel-vidi-jakal-f9ee9a87,TPB Hotel Vidi Jakal,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Vidi' or hotel-branded record exists anywhere in activity_stop_catalog.csv; the nearest unclaimed catalog rows on this stretch (Teknik UGM Utara/FKG UGM B) are distinct, already-surveyed campus buildings rather than the hotel, so borrowing one would misplace this stop; genuine gap."
12,15,bus-pasar-kolombo-69cbcaf2,Pasar Kolombo,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: activity_stop_catalog.csv's only 'Colombo'-named rows (Halte Jl. Colombo UNY / Halte UNY Colombo, both already claimed) sit ~1.5km away near UNY/Sanata Dharma at lon 110.386-110.389, a different street and a different market from the Jl. Kaliurang 'Pasar Kolombo' this stop names; no separate market/pasar record exists for this location; genuine gap."
12,47,bus-pasar-kolombo-e-853be528,Pasar Kolombo (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: same conclusion as the Barat occurrence -- the catalog's only Colombo-named entries are the distinct UNY-area stops ~1.5km away, already claimed by other resolved stops; no Jakal-corridor market record exists; genuine gap."
12,3,bus-prayan-e-d22ce9c8,Halte Prayan (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Prayan' record of any kind, any spelling, exists in activity_stop_catalog.csv; immediate route neighbors (Terminal Condongcatur) are already resolved to their own distinct catalog rows, leaving no unclaimed candidate for the Prayan hamlet itself; genuine gap."
4A,28,bus-prayan-e-d22ce9c8,Halte Prayan (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Prayan' record of any kind, any spelling, exists in activity_stop_catalog.csv; immediate route neighbors (Terminal Condongcatur) are already resolved to their own distinct catalog rows, leaving no unclaimed candidate for the Prayan hamlet itself; genuine gap."
12,59,bus-prayan-w-756ecdc4,Halte Prayan (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Prayan' record of any kind exists in activity_stop_catalog.csv; Santren and Terminal Condongcatur are the nearest catalog anchors and both are already claimed by their own distinct stops, not this one; genuine gap."
4B,18,bus-prayan-w-756ecdc4,Halte Prayan (Barat),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Re-verified: no 'Prayan' record of any kind exists in activity_stop_catalog.csv; Santren and Terminal Condongcatur are the nearest catalog anchors and both are already claimed by their own distinct stops, not this one; genuine gap."
