route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
4B,4,bus-universitas-ahmad-dahlan-f6ee4d47,Halte TJ Universitas Ahmad Dahlan,unmatched,6a93a3aadc237a3a8a7a1649,Halte Gambiran B,,approved,user+codex-gpt-5,2026-09-13,"Quantity-priority corridor match: Gambiran B is ~234m from the interpolated position between resolved Gudang SGM and UTY Glagahsari anchors. This stop_id recurs at seq38, so both route occurrences intentionally resolve to one Activity."
4B,6,bus-pandeyan-w-cd4dd021,Pandeyan (Barat),unmatched,,,,rejected,user+codex-gpt-5,2026-09-13,"No Pandeyan-named catalog record or convincing distinct location between resolved route anchors; nearby UTY records identify the next stop, not this physical stop."
4B,8,bus-olive-glagahsari-w-48c71355,Olive Glagahsari (Barat),unmatched,,,,rejected,user+codex-gpt-5,2026-09-13,"No Olive catalog record. Nearby UTY survey points coincide with resolved seq7 and would duplicate a different consecutive physical stop."
4B,9,bus-sgm-kusumanegara-n-ff7fc910,SGM Kusumanegara (Utara),unmatched,6a893743478dc3b356b740c6,"Halte Kusumanegara 4 di Depan Kantor Kementrian Agraria dan Tata Ruang / Badan Pertahanan Nasional Jogja",,approved,user+codex-gpt-5,2026-09-13,"Plausible renamed corridor stop: Kusumanegara 4 lies ~425m from route-order interpolation between UTY Glagahsari and APMD and precedes the SMKN 5 survey point selected for seq10."
4B,10,bus-smk-n-5-s-0d099053,SMK N 5 (Selatan),unmatched,6a93990852d86e03b51e35da,Halte SMKN 5 Yogyakarta A,,approved,user+codex-gpt-5,2026-09-13,"Direct school-name match (SMK N 5/SMKN 5); catalog point is on the expected Kusumanegara corridor between seq9 and resolved APMD."
4B,11,bus-timoho-w-b557460d,Timoho (Barat),unmatched,,,,rejected,user+codex-gpt-5,2026-09-13,"No Timoho catalog record. Nearby APMD records are a distinct named stop already used at seq12, so not a defensible substitution."
4B,14,bus-gedung-wanita-763bc43c,Halte Gedung Wanita,unmatched,6a82c28a9870dcf66e45abdc,Halte Bus Trans Jogja - Jl. Solo,,approved,user+codex-gpt-5,2026-09-13,"Plausible field-survey rename: Jl. Solo survey point is ~139m from route-order interpolation between UIN Sunan Kalijaga and RRI Gejayan."
4B,18,bus-prayan-w-756ecdc4,Prayan (Barat),unmatched,,,,rejected,user+codex-gpt-5,2026-09-13,"Preserve prior documented gap: catalog has no Prayan record; nearby Santren and Terminal Condongcatur records identify distinct anchors."
4B,19,bus-spbu-condongcatur-w-a4e66ecc,SPBU Condongcatur (Barat),unmatched,,,,rejected,user+codex-gpt-5,2026-09-13,"Preserve prior documented gap: no SPBU/fuel-station catalog record on this corridor; Terminal Condongcatur is a distinct resolved stop."
4B,22,bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),unmatched,,,,rejected,user+codex-gpt-5,2026-09-13,"Preserve prior documented gap: no Hokben catalog record; nearby McD Jakal is a distinct resolved stop."
