route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
4A,4,bus-muhammadiyah-3-cb194b98,Halte Muhammadiyah 3,unmatched,6a8a44a50d6732db988bca0a,Halte PA Muhammadiyah di Depan Panti Asuhan Yatim Putra,,approved,codex-gpt-5,2026-09-13,"No automated candidate. Full catalog has this Muhammadiyah-named stop on Route 4A's northbound Giwangan-to-city corridor; plausible same physical halt despite route-sheet shorthand 'Muhammadiyah 3'."
4A,5,bus-jalan-pramuka-f6939358,TPB Jl. Pramuka,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No automated candidate and no Pramuka-named Activity in full catalog; nearby hospital/XT Square records are distinct physical stops. Genuine field-survey gap."
4A,6,bus-pasar-sepeda-tunjungsari-c4695341,TPB Pasar Sepeda Tunjungsari,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No automated candidate and no Pasar Sepeda or Tunjungsari Activity in full catalog. Genuine field-survey gap."
4A,7,bus-nyutran-tamansiswa-080d9b74,Nyutran Tamansiswa,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No automated candidate and no Nyutran Activity in full catalog; nearby named records are distinct stops. Genuine field-survey gap."
4A,8,bus-wirogunan-w-d030e655,Wirogunan (Barat),unmatched,6a89703452d86e03b51884b7,Halte Portable Wirogunan di Depan KANWIL DITJENPAS DIY,,approved,codex-gpt-5,2026-09-13,"No automated candidate. Exact Wirogunan catalog record; route-sheet Barat suffix denotes carriageway while survey record describes same roadside halt."
4A,9,bus-pasar-sentul-s-84478365,Pasar Sentul (Selatan),unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No automated candidate and no Pasar Sentul Activity in full catalog. Wirogunan record is nearby but names a different physical stop."
4A,10,bus-museum-biologi-1a19a994,Museum Biologi,unmatched,6a893cf052d86e03b5184e39,Halte Museum Biologi di Jalan Sultan Agung Depan Soto Mie Pak Kadir,,approved,codex-gpt-5,2026-09-13,"No automated candidate. Exact Museum Biologi name match in full catalog; descriptive street/business suffix does not change location."
4A,14,bus-krisdosono-9dea3135,Halte Krisdosono,unmatched,6a82a1cc38bb192425f4b2de,Halte Trans Jogja - Kridosono,,approved,codex-gpt-5,2026-09-13,"No automated candidate. Exact physical match under catalog spelling 'Kridosono'; located on this route between Stasiun Lempuyangan and UKDW."
4A,33,bus-solo-sma-de-britto-38b4feb0,Halte TJ Solo (SMA De Britto),unmatched,6a82c4c59870dcf66e45afe4,Halte Trans Jogja - Debrito,,approved,codex-gpt-5,2026-09-13,"No automated candidate. Exact De Britto/Debrito name match; catalog coordinate is on Jl. Solo between Demangan and UIN Kalijaga route neighbors."
4A,36,bus-timoho-e-91beeecd,Timoho (Timur),unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No automated candidate and no Timoho-named Activity in full catalog; APMD/SMKN 5 records are different physical stops. Genuine field-survey gap."
4A,37,bus-smk-n-5-n-5d2e3d5f,SMK N 5 (Utara),unmatched,6a8a50c652d86e03b518eea3,Halte SMKN 5 di Depan SMKN5 Yogyakarta,,approved,codex-gpt-5,2026-09-13,"No automated candidate. Exact SMKN 5 location match; survey record has no directional suffix, while route sheet identifies its Utara-side occurrence."
4A,38,bus-sgm-kusumanegara-s-c3683ba7,SGM Kusumanegara (Selatan),unmatched,6a893743478dc3b356b740c6,Halte Kusumanegara 4 di Depan Kantor Kementrian Agraria dan Tata Ruang / Badan Pertahanan Nasional Jogja,,approved,codex-gpt-5,2026-09-13,"No automated candidate. Catalog's Kusumanegara 4 halt is plausible same Kusumanegara roadside stop (~0.4 km from route-neighbor interpolation); accepted under quantity-priority review."
4A,40,bus-makam-prajurit-e-331fb8be,Makam Prajurit (Timur),unmatched,6a8940bc478dc3b356b74823,Halte Kusumanegara 2 di Jalan Kusumanegara dekat Makam Pahlawan,,approved,codex-gpt-5,2026-09-13,"No automated candidate. 'Makam Prajurit' route shorthand plausibly denotes catalog's Kusumanegara halt explicitly beside Makam Pahlawan; same memorial landmark/corridor, accepted under quantity-priority review."
4A,41,bus-psky-255eae47,Halte PSKY,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No automated candidate and no PSKY-expanded or PSKY-named Activity in full catalog. Genuine field-survey gap."
4A,42,bus-univeristas-ahmad-dahlan-0f60ec71,Halte TJ Univeristas Ahmad Dahlan,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"No automated candidate and no Ahmad Dahlan Activity in full catalog. Do not substitute nearby Tegal Gendu/Tegal Turi records without evidence; genuine field-survey gap."
4B,3,bus-muhammadiyah-3-cb194b98,Halte Muhammadiyah 3,unmatched,6a8a44a50d6732db988bca0a,Halte PA Muhammadiyah di Depan Panti Asuhan Yatim Putra,,approved,codex-gpt-5,2026-09-13,"Same stop_id/catalog evidence as Route 4A sequence 4; Route 4B uses same physical Muhammadiyah 3 halt."
4B,5,bus-jalan-pramuka-f6939358,TPB Jl. Pramuka,unmatched,,,,rejected,codex-gpt-5,2026-09-13,"Same stop_id/catalog result as Route 4A sequence 5: no Pramuka-named Activity; nearby records are distinct physical stops."
